Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Netherlands,NLD,Europe,74961.0,88493.0,0.93,0.0465,Constitutional monarchy,752547.0,1979486.0,778.0,1035.94,16609518.0,16033.27,0.0,50.4,49.6,0.0,9.1
Norway,NOR,Europe,40260.0,50317.0,0.6,0.626,Constitutional monarchy,388315.0,741813.0,1414.0,39.12,4896700.0,125181.99,0.0,49.9,50.1,0.0,29.4510638298
Nepal,NPL,Asia,89808.0,32659.0,2.2,2.97,Republic,20881.0,971247.0,1500.0,549.14,29853000.0,54363.16,0.0,51.6,48.4,0.0,25.2
New Zealand,NZL,Oceania,2307.0,1273.0,1.3,0.587,Constitutional monarchy,173754.0,1132736.0,1732.0,42.26,4383600.0,103737.89,0.0,50.9,49.1,0.0,29.4510638298
Oman,OMN,Asia,78.0,244.0,0.6,2.13,Absolute monarchy,70255.0,1112032.0,125.0,35.41,2905000.0,82031.23,0.0,36.4,63.6,0.0,29.4510638298
Pakistan,PAK,Asia,1900621.0,1561152.0,6.8,29.98,Republic,269971.0,4080766.0,494.0,548.51,170260000.0,310402.84,0.0,48.6,51.4,0.0,22.3
Panama,PAN,North America,17073.0,17264.0,13.0,9.14,Republic,52132.0,158417.0,2692.0,110.04,3322576.0,30193.18,0.0,49.5,50.5,0.0,26.0
Peru,PER,South America,1146.0,1429.0,3.2,4.34,Republic,192084.0,104919.0,1738.0,59.37,29461933.0,496226.01,0.0,49.9,50.1,0.0,25.8
Philippines,PHL,Asia,243.0,239.0,6.4,15.99,Republic,291965.0,213150.0,2348.0,256.00425,41738534.0,319456.926,0.0,49.9,50.1,0.0,26.5
Papua New Guinea,PNG,Oceania,9698.0,9503.0,9.15748091603,60.02,Constitutional monarchy,16929.0,25782.0,3142.0,38.54,6888000.0,178703.45,0.0,49.0,51.0,0.0,37.0
Poland,POL,Europe,15555.0,14012.0,1.21,2.05,Republic,474783.0,619403.0,600.0,316.14,38167329.0,120728.3,0.0,51.7,48.3,0.0,10.6
North Korea,PRK,Asia,68206.0,0.0,9.15748091603,15.1056878205,Republic,460742.224359,46813.0,1054.0,515.48,23991000.0,46540.74,0.0,51.1,48.9,0.0,29.4510638298
Portugal,PRT,Europe,384.0,634.0,1.17,0.428,Republic,198931.0,837257.0,854.0,298.18,10636888.0,35672.35,0.0,51.6,48.4,0.0,18.0
Paraguay,PRY,South America,107.0,167.0,12.0,21.2,Republic,27623.0,185776.0,1130.0,41.13,6460000.0,157046.99,0.0,49.6,50.4,0.0,34.7
Qatar,QAT,Asia,51.0,117.0,1.0,3.39,Absolute monarchy,166908.0,1600955.0,74.0,384.2,1696563.0,4415.85,0.0,23.5,76.5,0.0,29.4510638298
Romania,ROU,Europe,1021.0,2546.0,2.3,4.86,Republic,177954.0,226943.0,637.0,234.09,21466174.0,91699.23,0.0,51.3,48.7,0.0,22.2
Russia,RUS,Asia,4922.0,314472.0,15.0,1.53,Republic,1326015.0,11643276.0,460.0,21.53,141927297.0,6592768.87,0.0,53.9,46.1,0.0,11.0
Rwanda,RWA,Africa,55398.0,144724.0,9.15748091603,2.02,Republic,8096.0,452406.0,1212.0,1010.61,10277000.0,10169.15,1.0,51.2,48.8,0.0,44.9
Saudi Arabia,SAU,Asia,582.0,117.0,0.9,7.64,Absolute monarchy,646002.0,9060433.0,59.0,34.67,26246000.0,756984.63,0.0,42.5,57.5,0.0,29.4510638298
Sudan,SDN,Africa,178308.0,309627.0,9.15748091603,15.1056878205,Republic,84067.0,446707.0,416.0,42.4,31894000.0,728215.12,1.0,49.8,50.2,0.0,46.5
South Sudan,SDS,Africa,68206.0,263012.0,9.15748091603,15.1056878205,Republic,9015.0,629577.0,1110.7875,34.52,8260490.0,239285.0,0.0,50.0,50.0,0.0,50.6
Senegal,SEN,Africa,20672.0,14383.0,1.1,31.95,Republic,13780.0,209398.0,686.0,169.78,12861000.0,75749.35,0.0,51.0,49.0,0.0,54.0
Solomon Islands,SLB,Oceania,68206.0,103635.0,9.15748091603,10.68,Constitutional monarchy,1157.0,2585.0,3028.0,48.8,536000.0,10984.6,0.0,49.2,50.8,0.0,29.4510638298
Sierra Leone,SLE,Africa,8363.0,760.0,2.6,103.37,Republic,4475.0,96368.0,2526.0,210.69,5836000.0,27698.96,0.0,50.3,49.7,0.0,70.2
El Salvador,SLV,North America,38.0,36.0,71.0,6.3,Republic,25850.0,41615.0,1724.0,762.47,6194000.0,8123.59,0.0,52.6,47.4,0.0,36.5
Somalia,SOM,Africa,1937.0,8071.0,9.15748091603,129.09,Republic,5953.0,24593.0,282.0,38.01,9359000.0,246200.64,1.0,50.3,49.7,0.0,29.4510638298
Suriname,SUR,South America,1.0,103635.0,14.0,9.06,Republic,4878.0,41670.0,2331.0,8.31,524000.0,63038.87,0.0,49.9,50.1,0.0,70.0
Slovakia,SVK,Europe,461.0,796.0,1.74,15.1056878205,Republic,460742.224359,177190.0,824.0,287.75,5426645.0,18859.15,0.0,51.4,48.6,0.0,21.0
Slovenia,SVN,Europe,314.0,269.0,0.55,1.48,Republic,42747.0,235966.0,1162.0,263.52,2062700.0,7827.45,0.0,50.3,49.7,0.0,13.5
Sweden,SWE,Europe,82629.0,169461.0,0.89,0.32,Constitutional monarchy,492618.0,1639771.0,624.0,53.91,9366092.0,173732.0,0.0,50.2,49.8,0.0,29.4510638298
Swaziland,SWZ,Africa,759.0,674.0,13.0,28.07,Absolute monarchy,4060.0,25524.0,788.0,179.3,1202000.0,6703.89,0.0,50.7,49.3,0.0,69.0
Syria,SYR,Asia,1005472.0,21102.0,3.0,0.864,Republic,460742.224359,1394227.0,252.0,314.76,22505000.0,71498.37,0.0,49.1,50.9,1.0,11.9
Chad,TCD,Africa,347939.0,369523.0,19.0,63.78,Republic,10889.0,331251.0,322.0,22.74,11274106.0,495754.97,0.0,49.9,50.1,1.0,80.0
Togo,TGO,Africa,14051.0,21939.0,9.15748091603,11.2,Republic,4003.0,202476.0,1168.0,309.24,6780000.0,21924.8,0.0,50.7,49.3,0.0,32.0
Thailand,THA,Asia,96675.0,108237.0,5.9,3.68,n/a,395282.0,3721735.0,1622.0,320.1,63525062.0,198456.43,0.0,51.0,49.0,0.0,13.2
Tajikistan,TJK,Asia,3131.0,1963.0,1.7,0.886,Republic,7853.0,275735.0,691.0,128.05,7075000.0,55251.2,0.0,49.8,50.2,0.0,35.6
Turkmenistan,TKM,Asia,62.0,25.0,4.1,15.1056878205,Republic,37334.0,226327.0,161.0,27.47,5177000.0,188456.39,0.0,50.8,49.2,0.0,30.0
